"feature_token","feature_lemma","feature_pos","characteristics","dependency_relation","concept_token","concept_lemma","concept_pos","freq","id"
"art","art","NOUN","Number=Sing","obj","become","become","VERB",19,"art become"
"art","art","NOUN","Number=Sing","nsubj","become","become","VERB",36,"art become"
"concert","concert","NOUN","Number=Sing","obl","come","come","VERB",392,"concert come"
"concert","concert","NOUN","Number=Sing","nsubj","was","be","VERB",149,"concert be"
"radio","radio","NOUN","Number=Sing","obj","turn","turn","VERB",2830,"radio turn"
"art","art","NOUN","Number=Sing","obj","draw","dree","VERB",1,"art dree"
"art","art","NOUN","Number=Sing","obj","like","like","VERB",497,"art like"
"radio","radio","NOUN","Number=Sing","nmod","static","static","NOUN",350,"radio static"
"radio","radio","NOUN","Number=Sing","obl","continues","continue","VERB",205,"radio continue"
"art","art","NOUN","Number=Sing","obl","changed","change","VERB",30,"art change"
"radio","radio","NOUN","Number=Sing","obj","fixed","fix","VERB",73,"radio fix"
"radio","radio","NOUN","Number=Sing","nmod","woman","woman","NOUN",1914,"radio woman"
"radios","radio","NOUN","Number=Plur","obj","selling","sell","VERB",16,"radio sell"
"radio","radio","NOUN","Number=Sing","nsubj","watch","watch","VERB",3,"radio watch"
"band","band","NOUN","Number=Sing","obl","ran","run","VERB",41,"band run"
"radio","radio","NOUN","Number=Sing","nmod","officer","officer","NOUN",352,"radio officer"
"radios","radio","NOUN","Number=Plur","obl","listening","listen","VERB",21,"radio listen"
"radio","radio","NOUN","Number=Sing","nmod","history","history","NOUN",50,"radio history"
"radio","radio","NOUN","Number=Sing","nmod","host","host","NOUN",36,"radio host"
"radio","radio","NOUN","Number=Sing","obl","caught","catch","VERB",31,"radio catch"
"radio","radio","NOUN","Number=Sing","obl","heard","hear","VERB",3398,"radio hear"
"radio","radio","NOUN","Number=Sing","nsubj","says","say","VERB",252,"radio say"
"radio","radio","NOUN","Number=Sing","obl","announced","announce","VERB",148,"radio announce"
"radio","radio","NOUN","Number=Sing","nmod","broadcaster","broadcaster","NOUN",1,"radio broadcaster"
"radio","radio","NOUN","Number=Sing","nmod","guy","guy","NOUN",125,"radio guy"
"radio","radio","NOUN","Number=Sing","obl","listening","listen","VERB",1236,"radio listen"
"radio","radio","NOUN","Number=Sing","obl","listen","listen","VERB",2265,"radio listen"
"band","band","NOUN","Number=Sing","obl","got","get","VERB",242,"band get"
"band","band","NOUN","Number=Sing","obj","have","have","VERB",1626,"band have"
"band","band","NOUN","Number=Sing","nmod","boys","boy","NOUN",111,"band boy"
"band","band","NOUN","Number=Sing","obj","rehearsing","rehearse","VERB",13,"band rehearse"
"band","band","NOUN","Number=Sing","obj","getting","get","VERB",307,"band get"
"radio","radio","NOUN","Number=Sing","obl","speaks","speak","VERB",96,"radio speak"
"radio","radio","NOUN","Number=Sing","nmod","boys","boy","NOUN",2,"radio boy"
"art","art","NOUN","Number=Sing","obj","developed","develop","VERB",20,"art develop"
"art","art","NOUN","Number=Sing","obl","raised","raise","VERB",16,"art raise"
"band","band","NOUN","Number=Sing","nsubj","playing","play","VERB",1615,"band play"
"band","band","NOUN","Number=Sing","obl","screaming","scream","VERB",2,"band scream"
"radio","radio","NOUN","Number=Sing","nsubj","working","work","VERB",293,"radio work"
"radio","radio","NOUN","Number=Sing","obj","calling","call","VERB",22,"radio call"
"radio","radio","NOUN","Number=Sing","nsubj","dive","dive","VERB",2,"radio dive"
"radio","radio","NOUN","Number=Sing","nmod","man","man","NOUN",8592,"radio man"
"radio","radio","NOUN","Number=Sing","nsubj","bit","bit","NOUN",1,"radio bit"
"art","art","NOUN","Number=Sing","nmod","museum","museum","NOUN",940,"art museum"
"radio","radio","NOUN","Number=Sing","obl","calling","call","VERB",53,"radio call"
"band","band","NOUN","Number=Sing","nmod","instruments","instrument","NOUN",8,"band instrument"
"radio","radio","NOUN","Number=Sing","obl","turn","turn","VERB",1169,"radio turn"
"radio","radio","NOUN","Number=Sing","nsubj","blaring","blar","VERB",9,"radio blar"
"band","band","NOUN","Number=Sing","nsubj","arrived","arrive","VERB",5,"band arrive"
"art","art","NOUN","Number=Sing","nmod","crates","crate","NOUN",1,"art crate"
"radios","radio","NOUN","Number=Plur","nmod","means","mean","NOUN",1,"radio mean"
"art","art","NOUN","Number=Sing","nmod","work","work","NOUN",4971,"art work"
"radio","radio","NOUN","Number=Sing","nmod","power","power","NOUN",16,"radio power"
"concerts","concert","NOUN","Number=Plur","obl","interested","interested","ADJ",4,"concert interested"
"art","art","NOUN","Number=Sing","nmod","state","state","NOUN",5726,"art state"
"radio","radio","NOUN","Number=Sing","obl","playing","play","VERB",4862,"radio play"
"radio","radio","NOUN","Number=Sing","obj","bring","bring","VERB",192,"radio bring"
"radio","radio","NOUN","Number=Sing","obj","use","use","VERB",712,"radio use"
"radios","radio","NOUN","Number=Plur","obl","put","put","VERB",15,"radio put"
"radio","radio","NOUN","Number=Sing","obj","hong","hong","VERB",1,"radio hong"
"radio","radio","NOUN","Number=Sing","obj","put","put","VERB",453,"radio put"
"radio","radio","NOUN","Number=Sing","nmod","kramer","kramer","NOUN",12,"radio kramer"
"art","art","NOUN","Number=Sing","obj","wake","wake","VERB",6,"art wake"
"art","art","NOUN","Number=Sing","obj","lost","lose","VERB",38,"art lose"
"radio","radio","NOUN","Number=Sing","nmod","sanderson","sanderson","NOUN",2,"radio sanderson"
"art","art","NOUN","Number=Sing","obj","lost","lost","VERB",1,"art lost"
"arts","art","NOUN","Number=Plur","obj","focused","focus","VERB",2,"art focus"
"arts","art","NOUN","Number=Plur","obj","know","know","VERB",221,"art know"
"arts","art","NOUN","Number=Plur","obj","advocates","advocate","VERB",3,"art advocate"
"arts","art","NOUN","Number=Plur","obl","determine","determine","VERB",3,"art determine"
"arts","art","NOUN","Number=Plur","obl","par","par","NOUN",1,"art par"
"band","band","NOUN","Number=Sing","obj","thinkin","thinkin","VERB",3,"band thinkin"
"band","band","NOUN","Number=Sing","obj","quit","quit","VERB",388,"band quit"
"concert","concert","NOUN","Number=Sing","obl","found","find","VERB",13,"concert find"
