"feature_token","feature_lemma","feature_pos","characteristics","dependency_relation","concept_token","concept_lemma","concept_pos","freq","id"
"love","love","NOUN","Number=Sing","nmod","art","art","NOUN",216,"art love"
"science","science","NOUN","Number=Sing","nmod","art","art","NOUN",53,"art science"
"words","word","NOUN","Number=Plur","nmod","art","art","NOUN",10,"art word"
"artistic","artistic","ADJ","Degree=Pos","amod","art","art","NOUN",1,"art artistic"
"hospital","hospital","NOUN","Number=Sing","nmod","concert","concert","NOUN",11,"concert hospital"
"important","important","ADJ","Degree=Pos","amod","radio","radio","NOUN",3,"radio important"
"big","big","ADJ","Degree=Pos","amod","band","band","NOUN",1138,"band big"
"cheyenne","cheyenne","NOUN","Number=Sing","nmod","band","band","NOUN",21,"band cheyenne"
"jersey","jersey","NOUN","Number=Sing","nmod","radio","radio","NOUN",1,"radio jersey"
"landing","landing","NOUN","Number=Sing","nmod","radio","radio","NOUN",6,"radio landing"
"real","real","ADJ","Degree=Pos","amod","band","band","NOUN",259,"band real"
"stress","stress","NOUN","Number=Plur","nmod","radio","radio","NOUN",1,"radio stress"
"ship","ship","NOUN","Number=Sing","obj","radio","radio","VERB",7,"radio ship"
"confirmation","confirmation","NOUN","Number=Sing","obl","radio","radio","VERB",1,"radio confirmation"
"new","new","ADJ","Degree=Pos","amod","art","art","NOUN",210,"art new"
"squaws","squaw","NOUN","Number=Plur","nmod","band","band","NOUN",1,"band squaw"
"equipment","equipment","NOUN","Number=Sing","nmod","radio","radio","NOUN",2,"radio equipment"
"modern","modern","ADJ","Degree=Pos","amod","art","art","NOUN",1788,"art modern"
"yasushi","yasushi","ADJ","Degree=Pos","amod","art","art","NOUN",1,"art yasushi"
"ones","one","NOUN","Number=Plur","obl","radio","radio","VERB",1,"radio one"
"instructions","instructions","NOUN","Number=Plur","obl","radio","radio","VERB",1,"radio instructions"
"superb","superb","ADJ","Degree=Pos","amod","arts","art","NOUN",3,"art superb"
"martial","martial","ADJ","Degree=Pos","amod","arts","art","NOUN",6160,"art martial"
"black","black","ADJ","Degree=Pos","amod","bands","band","NOUN",38,"band black"
"martial","martial","ADJ","Degree=Pos","amod","art","art","NOUN",1472,"art martial"
"times","time","NOUN","Number=Plur","nmod","art","art","NOUN",3,"art time"
"dreams","dream","NOUN","Number=Plur","obl","radio","radio","NOUN",3,"radio dream"
"stable","stable","NOUN","Number=Sing","nmod","radio","radio","NOUN",2,"radio stable"
"singing","singe","VERB","VerbForm=Ger","amod","radio","radio","NOUN",10,"radio singe"
"spanish","spanish","NOUN","Number=Sing","obl","band","band","VERB",3,"band spanish"
"sings","sings","NOUN","Number=Plur","obj","band","band","VERB",3,"band sings"
"sins","sins","ADJ","Degree=Pos","amod","art","art","NOUN",1,"art sins"
"warlords","warlord","NOUN","Number=Plur","nmod","band","band","NOUN",3,"band warlord"
"elton","elton","ADJ","Degree=Pos","amod","concert","concert","NOUN",13,"concert elton"
"help","help","NOUN","Number=Sing","obl","radio","radio","VERB",97,"radio help"
"station","station","NOUN","Number=Sing","obj","radio","radio","VERB",12,"radio station"
"full","full","ADJ","Degree=Pos","amod","band","band","NOUN",61,"band full"
"carlsbad","carlsbad","NOUN","Number=Sing","nmod","concert","concert","NOUN",4,"concert carlsbad"
"more","more","ADJ","Degree=Cmp","amod","bands","band","NOUN",86,"band more"
"beautiful","beautiful","ADJ","Degree=Pos","amod","concert","concert","NOUN",31,"concert beautiful"
"india","india","ADJ","Degree=Pos","amod","radio","radio","NOUN",116,"radio india"
"own","own","ADJ","Degree=Pos","amod","band","band","NOUN",527,"band own"
"nice","nice","ADJ","Degree=Pos","amod","radio","radio","NOUN",67,"radio nice"
"maoshan","maoshan","ADJ","Degree=Pos","amod","art","art","NOUN",3,"art maoshan"
"missing","missing","ADJ","Degree=Pos","amod","radio","radio","NOUN",16,"radio missing"
"end","end","NOUN","Number=Sing","obl","radio","radio","VERB",1,"radio end"
"drummer","drummer","NOUN","Number=Sing","nsubj","band","band","NOUN",11,"band drummer"
"terpsichore","terpsichore","NOUN","Number=Sing","nmod","art","art","NOUN",5,"art terpsichore"
"friends","friend","NOUN","Number=Plur","nmod","band","band","NOUN",26,"band friend"
"survival","survival","NOUN","Number=Sing","nmod","art","art","NOUN",68,"art survival"
"mountain","mountain","NOUN","Number=Sing","nmod","arts","art","NOUN",3,"art mountain"
"night","night","NOUN","Number=Sing","nsubj","radio","radio","NOUN",2,"radio night"
"shapiro","shapiro","ADJ","Degree=Pos","amod","concert","concert","NOUN",5,"concert shapiro"
"calligraphy","calligraphy","NOUN","Number=Sing","nmod","art","art","NOUN",16,"art calligraphy"
"youth","youth","ADJ","Degree=Pos|NumType=Ord","amod","concert","concert","NOUN",11,"concert youth"
"'t","'t","ADJ","Degree=Pos","amod","art","art","NOUN",48,"art 't"
"butterflies","butterfly","NOUN","Number=Plur","nmod","art","art","NOUN",2,"art butterfly"
"fashion","fashion","NOUN","Number=Sing","nsubj","art","art","NOUN",43,"art fashion"
"first","first","ADJ","Degree=Pos|NumType=Ord","amod","band","band","NOUN",286,"band first"
"farewell","farewell","ADJ","Degree=Pos","amod","concert","concert","NOUN",34,"concert farewell"
"particular","particular","ADJ","Degree=Pos","amod","art","art","NOUN",4,"art particular"
"happy","happy","ADJ","Degree=Pos","amod","band","band","NOUN",78,"band happy"
"women","woman","NOUN","Number=Plur","nmod","band","band","NOUN",10,"band woman"
"imitating","imitating","ADJ","Degree=Pos","amod","art","art","NOUN",7,"art imitating"
"swing","sw","VERB","VerbForm=Ger","amod","band","band","NOUN",16,"band sw"
"elastic","elastic","ADJ","Degree=Pos","amod","band","band","NOUN",260,"band elastic"
"tissue","tissue","NOUN","Number=Sing","nmod","band","band","NOUN",7,"band tissue"
"requests","request","NOUN","Number=Plur","nmod","concert","concert","NOUN",4,"concert request"
"pipers","piper","NOUN","Number=Plur","nmod","radio","radio","NOUN",3,"radio piper"
"pipes","pipe","NOUN","Number=Plur","obl","radio","radio","VERB",2,"radio pipe"
"stealing","stealing","NOUN","Number=Sing","nmod","art","art","NOUN",12,"art stealing"
"great","great","ADJ","Degree=Pos","amod","band","band","NOUN",634,"band great"
"muscles","muscle","NOUN","Number=Plur","nmod","band","band","NOUN",5,"band muscle"
"han","han","ADJ","Degree=Pos","amod","art","art","NOUN",1,"art han"
"noisy","noisy","ADJ","Degree=Pos","amod","radio","radio","NOUN",1,"radio noisy"
"man","man","NOUN","Number=Sing","nsubj","radio","radio","NOUN",6,"radio man"
"foreign","foreign","ADJ","Degree=Pos","amod","bands","band","NOUN",1,"band foreign"
"famous","famous","ADJ","Degree=Pos","amod","band","band","NOUN",54,"band famous"
"field","field","NOUN","Number=Sing","obl","band","band","NOUN",1,"band field"
"cell","cell","NOUN","Number=Sing","nmod","radio","radio","NOUN",23,"radio cell"
"raoul","raoul","ADJ","Degree=Pos","amod","art","art","NOUN",1,"art raoul"
"singing","singing","VERB","VerbForm=Ger","amod","band","band","NOUN",3,"band singing"
"high","high","ADJ","Degree=Pos","amod","art","art","NOUN",193,"art high"
"music","music","NOUN","Number=Sing","nsubj","art","art","NOUN",14,"art music"
"run","run","NOUN","Number=Sing","nmod","band","band","NOUN",66,"band run"
"new","new","ADJ","Degree=Pos","amod","band","band","NOUN",1038,"band new"
"multicoloured","multicoloured","ADJ","Degree=Pos","amod","band","band","NOUN",1,"band multicoloured"
"side","side","NOUN","Number=Sing","nmod","band","band","NOUN",8,"band side"
"song","song","NOUN","Number=Sing","nsubj","radio","radio","NOUN",20,"radio song"
"photography","photography","NOUN","Number=Sing","nmod","art","art","NOUN",57,"art photography"
"entire","entire","ADJ","Degree=Pos","amod","art","art","NOUN",21,"art entire"
"local","local","ADJ","Degree=Pos","amod","art","art","NOUN",32,"art local"
"walls","wall","NOUN","Number=Plur","nmod","art","art","NOUN",22,"art wall"
"military","military","ADJ","Degree=Pos","amod","art","art","NOUN",13,"art military"
"family","family","NOUN","Number=Sing","nmod","arts","art","NOUN",2,"art family"
"disguise","disguise","NOUN","Number=Sing","nmod","art","art","NOUN",137,"art disguise"
"military","military","ADJ","Degree=Pos","amod","radio","radio","NOUN",46,"radio military"
"direct","direct","ADJ","Degree=Pos","amod","band","band","NOUN",1,"band direct"
"japanese","japanese","ADJ","Degree=Pos","amod","arts","art","NOUN",77,"art japanese"
"world","world","NOUN","Number=Sing","nmod","arts","art","NOUN",19,"art world"
"such","such","ADJ","Degree=Pos","amod","arts","art","NOUN",31,"art such"
"average","average","ADJ","Degree=Pos","amod","concert","concert","NOUN",6,"concert average"
"hottest","hottest","ADJ","Degree=Sup","amod","band","band","NOUN",182,"band hottest"
"curtain","curtain","NOUN","Number=Sing","nmod","band","band","NOUN",4,"band curtain"
"ramones","ramone","NOUN","Number=Plur","nmod","concert","concert","NOUN",4,"concert ramone"
"free","free","ADJ","Degree=Pos","amod","radio","radio","NOUN",80,"radio free"
"ambulance","ambulance","NOUN","Number=Sing","obl","radioed","radio","VERB",4,"radio ambulance"
